,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
42,60,False,1001,United States,Fully employed by a company / organization,I don't remember,Daily,Vim,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_9,"Yes, I work on many different projects",7,Desktop development,11.0,3.9
45,40,False,1001,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_7,"Yes, I work on many different projects",4,Programming of web parsers / scrapers / crawlers,6.0,3.7
47,21,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",5,Software testing / Writing automated tests,6.0,3.8
51,21,False,5000,United States,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work on your own project(s) independently,For work,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",4,Unknown,1.0,3.7
54,40,False,5000,United States,Fully employed by a company / organization,School / University,Weekly,Emacs,"No, I use Python as a secondary language",Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",6.0,11.0,Python 3_8,"Yes, I work on many different projects",6,Other,11.0,3.8
56,40,False,5000,Australia,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,6.0,Python 3_5 or lower,"Yes, I work on many different projects",4,Embedded development,3.0,3.5
57,30,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Spyder,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",4,Data analysis,1.0,3.7
61,50,False,51,United States,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",4,DevOps / System administration / Writing automation scripts,11.0,3.7
64,30,False,5000,Czech Republic,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",8,Software testing / Writing automated tests,11.0,3.7
65,40,False,5000,Australia,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,"For personal, educational  or side projects","No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.8
70,30,True,2,Brazil,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,1.0,3.7
75,50,False,5000,United States,Fully employed by a company / organization, Online learning platform / Online course,Monthly,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",6,DevOps / System administration / Writing automation scripts,11.0,3.8
76,60,True,1,Canada,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,Spyder,Yes,Work as an external consultant or trainer,Both for work and personal,Yes – Please list:,7.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",1,Data analysis,11.0,3.8
78,30,False,11,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on many different projects",3,Software prototyping,3.0,3.7
79,21,False,51,Australia,Working student,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Embedded development,3.0,3.7
85,21,False,51,Germany,Fully employed by a company / organization,I don't remember,Daily,Emacs,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",4.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",21,Web development,3.0,3.7
86,30,False,11,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,11.0,3.7
89,30,True,501,Australia,Fully employed by a company / organization,Search engines,Daily,NotePad++,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,11.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,11.0,3.7
93,30,False,11,Germany,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",21,DevOps / System administration / Writing automation scripts,6.0,3.7
94,21,True,2,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"No,  I only work on one project",2,Web development,1.0,3.7
96,18,False,11,Brazil,Fully employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",3,Unknown,1.0,3.8
99,21,False,11,Australia,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_6,"No,  I only work on one project",2,Unknown,3.0,3.6
104,21,False,11,Other country,Fully employed by a company / organization,Other,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",3,Web development,1.0,3.8
105,30,False,1,Germany,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,Vim,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",6.0,11.0,Python 3_8,"Yes, I work on many different projects",1,Web development,11.0,3.8
109,50,Other,51,United States,Fully employed by a company / organization,School / University,Daily,Emacs,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",41,Data analysis,11.0,3.8
110,30,True,51,Canada,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.8
122,21,False,51,China,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work on your own project(s) independently,"For personal, educational  or side projects",Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",7,Web development,1.0,3.7
135,30,False,51,China,Fully employed by a company / organization,Search engines,Daily,JupyterLab,Yes,Work in a team,For work,Yes – Please list:,8.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",8,Data analysis,6.0,3.8
136,21,False,2,Slovakia,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Unknown,1.0,3.7
139,21,False,1,Other country,Working student,I don't remember,Monthly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work on your own project(s) independently,"For personal, educational  or side projects",Yes – Please list:,10.0,3.0,Python 3_9,"Yes, I work on one main and several side projects",1,Educational purposes,1.0,3.9
140,30,False,11,Australia,Fully employed by a company / organization,Other,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,6.0,3.8
141,30,False,51,China,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",13,Web development,11.0,3.7
145,30,False,2,Australia,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,For work,Yes – Please list:,10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Web development,6.0,3.7
147,40,False,11,New Zealand,Fully employed by a company / organization,Advertising,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",3,Web development,11.0,3.8
152,40,False,2,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_8,"No,  I only work on one project",2,Other,6.0,3.8
155,40,False,5000,Germany,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,11.0,3.8
157,21,False,5000,India,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",8,Web development,3.0,3.6
161,50,True,51,Australia,Fully employed by a company / organization,Other,Daily,VS Code,Yes,Work in a team,For work,Yes – Please list:,10.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Other,11.0,3.8
164,21,False,5000,Brazil,Working student,Social network,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects",Yes – Please list:,7.0,1.0,Python 3_7,"No,  I only work on one project",2,Machine learning,1.0,3.7
182,40,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.6
185,30,False,51,Australia,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work in a team,For work,"No, it has all the features I need",8.0,1.0,Python 3_8,"No,  I only work on one project",2,Desktop development,3.0,3.8
187,21,False,5000,Spain,Fully employed by a company / organization,Friend / Colleague,Daily,Sublime Text,Yes,Work in a team,"For personal, educational  or side projects","No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Educational purposes,6.0,3.8
194,21,True,2,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,JupyterLab,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,1.0,Python 3_8,"No,  I only work on one project",1,Data analysis,1.0,3.8
197,30,False,51,Ukraine,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,6.0,Python 3_7,"No,  I only work on one project",8,Web development,6.0,3.7
199,21,False,2,Malaysia,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_6,"Yes, I work on many different projects",2,Software prototyping,3.0,3.6
204,18,False,2,Brazil,Working student, Online learning platform / Online course,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
208,30,True,2,France,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",8,Machine learning,3.0,3.8
213,30,True,2,Sweden,Fully employed by a company / organization, Online learning platform / Online course,Daily,Atom,Yes,Work as an external consultant or trainer,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,3.0,3.8
224,60,False,1,Australia,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,Other,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_8,"Yes, I work on many different projects",1,Desktop development,11.0,3.8
232,21,False,51,Colombia,Fully employed by a company / organization,School / University,Daily,Sublime Text,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",4,Unknown,3.0,3.7
234,30,True,2,Canada,"Self-employed (a person earning income directly from one's own business, trade, or profession)",School / University,Daily,IntelliJ IDEA,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,11.0,3.8
241,21,False,11,China,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,1.0,Python 3_7,"No,  I only work on one project",13,Unknown,1.0,3.7
243,60,Other,51,Australia,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,11.0,3.8
245,60,True,5000,United States,Fully employed by a company / organization, Online learning platform / Online course,Daily,Vim,"No, I use Python as a secondary language",Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",5,Data analysis,6.0,3.7
250,30,False,501,New Zealand,Fully employed by a company / organization,Other,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
260,21,False,11,Australia,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,6.0,Python 3_6,"Yes, I work on many different projects",2,Web development,6.0,3.6
261,30,False,2,Germany,Fully employed by a company / organization,Advertising,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Web development,6.0,3.7
264,60,False,1,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,Vim,"No, I use Python as a secondary language",Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",4.0,11.0,Python 3_6,"Yes, I work on many different projects",1,DevOps / System administration / Writing automation scripts,11.0,3.6
275,30,True,51,Argentina,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",4,Machine learning,6.0,3.7
277,21,True,5000,United States,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",9.0,1.0,Python 3_9,"Yes, I work on many different projects",5,Educational purposes,1.0,3.9
278,21,False,11,China,Fully employed by a company / organization,Other,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Web development,1.0,3.6
280,21,False,51,India,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_5 or lower,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,1.0,3.5
284,21,False,2,India,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Programming of web parsers / scrapers / crawlers,3.0,3.8
298,30,True,51,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",4,Web development,3.0,3.8
301,30,False,51,India,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",6.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Machine learning,11.0,3.8
304,40,False,2,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,Eclipse + Pydev,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Game development,11.0,3.8
311,30,False,11,United States,Fully employed by a company / organization,I don't remember,Weekly,VS Code,Yes,Work on your own project(s) independently,For work,Yes – Please list:,10.0,6.0,Python 3_8,"No,  I only work on one project",3,Other,1.0,3.8
313,40,False,51,Australia,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",2,Software testing / Writing automated tests,6.0,3.6
320,21,True,11,India,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.6
325,21,True,51,India,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,6.0,3.7
332,30,False,11,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Web development,6.0,3.6
339,40,False,5000,Sweden,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on many different projects",6,DevOps / System administration / Writing automation scripts,11.0,3.7
341,40,False,1001,United States,Fully employed by a company / organization,I don't remember,Daily,Vim,"No, I use Python as a secondary language",Work in a team,For work,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Other,11.0,3.8
344,21,True,11,India,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,1.0,3.7
347,30,False,1001,United Kingdom,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",4,Data analysis,3.0,3.7
357,21,False,5000,Israel,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work in a team,For work,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Embedded development,3.0,3.8
363,21,False,11,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,Atom,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Programming of web parsers / scrapers / crawlers,1.0,3.8
364,21,False,501,India,Fully employed by a company / organization,School / University,Daily,PyCharm Community Edition,Yes,Work in a team,"For personal, educational  or side projects","No, it has all the features I need",9.0,1.0,Python 3_6,"Yes, I work on one main and several side projects",2,Web development,1.0,3.6
369,60,Other,51,Australia,Fully employed by a company / organization,Friend / Colleague,Daily,Sublime Text,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,11.0,Python 3_7,"Yes, I work on many different projects",4,Machine learning,11.0,3.7
377,40,False,1001,Denmark,Fully employed by a company / organization,Conference / User Group,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on many different projects",5,DevOps / System administration / Writing automation scripts,6.0,3.6
378,50,True,5000,Netherlands,Fully employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_8,"Yes, I work on many different projects",5,DevOps / System administration / Writing automation scripts,3.0,3.8
385,21,True,5000,India,Fully employed by a company / organization,Other,Daily,Spyder,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Unknown,3.0,3.6
392,50,False,51,Australia,Fully employed by a company / organization,School / University,Daily,Vim,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",6.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",2,Desktop development,11.0,3.6
395,30,False,11,Greece,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
399,30,False,11,United States,Fully employed by a company / organization,I don't remember,Daily,Sublime Text,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,11.0,3.7
406,30,False,1001,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Weekly,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,11.0,3.8
408,21,True,5000,India,Fully employed by a company / organization,School / University,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",5,DevOps / System administration / Writing automation scripts,1.0,3.8
422,21,False,5000,United States,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Other,1.0,3.8
424,40,False,11,Israel,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,For work,Yes – Please list:,10.0,6.0,Python 3_8,"No,  I only work on one project",3,Web development,6.0,3.8
432,50,False,5000,United States,Fully employed by a company / organization,I don't remember,Daily,IDLE,Yes,Work in a team,For work,"No, it has all the features I need",5.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,11.0,3.7
443,30,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
445,40,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,11.0,Python 3_8,"Yes, I work on many different projects",21,Web development,11.0,3.8
448,21,True,501,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",13,Software prototyping,3.0,3.7
454,21,True,5000,Pakistan,Fully employed by a company / organization,School / University,Daily,Jupyter Notebook,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,1.0,3.8
458,21,True,11,India,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Jupyter Notebook,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Machine learning,3.0,3.8
